Query #4:
Connected to Database: "schema2"

Running Query:
 select e.fname, e.lname
from employee as e
where e.ssn in ( 
select essn
from dependent as d
where e.fname != d.dependent_name
and 
e.sex!=d.sex );

Query Result Set:

------------------------------

fname                         lname                         
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #21:
Index hash on column sex in table employee
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #22:
Index hash on column sex in table employee
Index btree on column sex in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #23:
Index hash on column sex in table employee
Index btree on column sex in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #24:
Index hash on column sex in table employee
Index btree on column sex in table dependent
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #25:
Index hash on column sex in table employee
Index hash on column sex in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #26:
Index hash on column sex in table employee
Index hash on column sex in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #27:
Index hash on column sex in table employee
Index hash on column sex in table dependent
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #28:
Index btree on column dependent_name in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #29:
Index btree on column dependent_name in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #30:
Index btree on column dependent_name in table dependent
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #31:
Index btree on column dependent_name in table dependent
Index btree on column sex in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #32:
Index btree on column dependent_name in table dependent
Index btree on column sex in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #33:
Index btree on column dependent_name in table dependent
Index btree on column sex in table dependent
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #34:
Index btree on column dependent_name in table dependent
Index hash on column sex in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #35:
Index btree on column dependent_name in table dependent
Index hash on column sex in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #36:
Index btree on column dependent_name in table dependent
Index hash on column sex in table dependent
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #37:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #38:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #39:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #40:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index btree on column sex in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #41:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index btree on column sex in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #42:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index btree on column sex in table dependent
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #43:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index hash on column sex in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #44:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index hash on column sex in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #45:
Index btree on column dependent_name in table dependent
Index btree on column sex in table employee
Index hash on column sex in table dependent
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #46:
Index btree on column dependent_name in table dependent
Index hash on column sex in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #47:
Index btree on column dependent_name in table dependent
Index hash on column sex in table employee
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #48:
Index btree on column dependent_name in table dependent
Index hash on column sex in table employee
Index hash on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #49:
Index btree on column dependent_name in table dependent
Index hash on column sex in table employee
Index btree on column sex in table dependent

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
      "Node Type": "Seq Scan",
      "Plan Width": 4,
      "Startup Cost": 0.0,
      "Plan Rows": 4999
    }
  ],
  "Relation Name": "employee",
  "Parallel Aware": false,
  "Filter": "(SubPlan 1)",
  "Alias": "e",
  "Node Type": "Seq Scan",
  "Plan Width": 42,
  "Startup Cost": 0.0,
  "Plan Rows": 2501
}

------------------------------

Indicies Configuration #50:
Index btree on column dependent_name in table dependent
Index hash on column sex in table employee
Index btree on column sex in table dependent
Index btree on column fname in table employee

------------------------------

1. The Total Cost of the Plan = 666617.26
2. The Estimated Size of the Result Set = 2501
3. The Plan of the Query:
{
  "Total Cost": 666617.26,
  "Plans": [
    {
      "Parent Relationship": "SubPlan",
      "Total Cost": 253.98,
      "Relation Name": "dependent",
      "Parallel Aware": false,
      "Filter": "((e.fname \u003c\u003e dependent_name) AND (e.sex \u003c\u003e sex))",
      "Subplan Name": "SubPlan 1",
      "Alias": "d",
